100000,C,Sum,,,,100,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,
100001,C,Sum,,,,100,,,,,,,,100013,,,,,,,,,,,,,,,,,,,,
100002,C,Sum,,,,100,,,,,,,,100014,,,,,,,,,,,,,,,,,,,,
100003,C,Sum,,,,100,,,,,,,,100015,,,,,,,,,,,,,,,,,,,,
100004,C,Sum,,,,100,,,,,,,,100055,,,,,,,,,,,,,,,,,,,,
100005,C,Sum,,,,100,,,,,,,,100025,,,,,,,,,,,,,,,,,,,,
100006,C,Sum,,,,100,,,,,,,,100052,,,,,,,,,,,,,,,,,,,,
100011,C,Sum,,,,100,,,,,,,,100016,,,,,,,,,,,,,,,,,,,,
100012,C,Sum,,,,100,,,,,,,,100020,,,,,,,,,,,,,,,,,,,,
100013,C,Sum,,,,100,,,,,,,,100023,,,,,,,,,,,,,,,,,,,,
100014,C,Sum,,,,100,,,,,,,,100019,,,,,,,,,,,,,,,,,,,,
100015,C,Sum,,,,100,,,,,,,,100018,,,,,,,,,,,,,,,,,,,,
100016,C,Sum,,,,100,,,,,,,,100024,,,,,,,,,,,,,,,,,,,,
100017,C,Sum,,,,100,,,,,,,,100053,,,,,,,,,,,,,,,,,,,,
100019,C,Sum,,,,100,,,,,,,,100022,,,,,,,,,,,,,,,,,,,,
100021,C,Sum,,,,100,,,,,,,,100021,,,,,,,,,,,,,,,,,,,,
100022,C,Sum,,,,100,,,,,,,,100017,,,,,,,,,,,,,,,,,,,,
100025,C,Sum,,,,100,,,,,,,,100040,,,,,,,,,,,,,,,,,,,,
100027,C,Sum,,,,100,,,,,,,,100054,,,,,,,,,,,,,,,,,,,,
100029,C,Sum,,,,100,,,,,,,,100001,,,,,,,,,,,,,,,,,,,,
100030,C,Sum,,,,100,,,,,,,,100057,,,,,,,,,,,,,,,,,,,,
100031,C,Sum,,,,100,,,,,,,,100058,,,,,,,,,,,,,,,,,,,,
100032,D,Sum,,,,100,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,
100033,D,Sum,,,,100,,,,,,,,100040,,,,,,,,,,,,,,,,,,,,
100034,D,Sum,,,,100,,,,,,,,100053,,,,,,,,,,,,,,,,,,,,
100035,D,Sum,,,,100,,,,,,,,100054,,,,,,,,,,,,,,,,,,,,
100036,D,Sum,,,,100,,,,,,,,100052,,,,,,,,,,,,,,,,,,,,
100037,D,Sum,,,,100,,,,,,,,100001,,,,,,,,,,,,,,,,,,,,
100038,D,Sum,,,,100,,,,,,,,100057,,,,,,,,,,,,,,,,,,,,
100039,D,Sum,,,,100,,,,,,,,100058,,,,,,,,,,,,,,,,,,,,
100042,C,Sum,,,,100,,,,,,,,100041,,,,,,,,,,,,,,,,,,,,
100044,C,Sum,,,,100,,,,,,,,100056,,,,,,,,,,,,,,,,,,,,
100047,C,Sum,,,,100,,,,,,,,100059,,,,,,,,,,,,,,,,,,,,
